Collection,Operation,Ns_1K,Ns_10K,Ns_100K,Ns_1M,Ns_10M,GrowthRatio,GuessedBigO
ArrayList,add-at-end,48.66,170.66,49.42,38.43,84.77,1.74,O(1)
ArrayList,get(index),46.35,210.49,116.14,149.93,155.51,3.36,O(log n)
ArrayList,add-at-front,198500.00,227200.00,21271.40,251920.60,87083000.00,438.71,O(n)
ArrayList,contains,857.16,10500.00,96547.90,1915505.40,16153912.00,18845.84,O(n)
LinkedList,add-at-end,138.22,149.44,155.98,575.23,28000.00,202.58,O(n)
LinkedList,add-at-front,180.35,197.51,33.10,311.38,700.00,3.88,O(log n)
LinkedList,contains,2919.99,62300.00,727960.35,9326617.28,133927800.00,45865.89,O(n)
ArrayDeque,add-at-end,68.31,201.15,282.76,123.86,80.14,1.17,O(1)
ArrayDeque,add-at-front,238.82,219.32,208.25,70.01,43.74,0.18,O(1)
ArrayDeque,peek,53.34,14.83,17.58,12.68,18.17,0.34,O(1)
HashSet,add,403.78,596.19,2108.57,687.17,1200.00,2.97,O(log n)
HashSet,contains,41.63,71.52,115.46,217.86,1000.00,24.02,O(n)
TreeSet,add,1892.48,2258.76,1783.87,1606.54,2800.00,1.48,O(1)
TreeSet,contains,232.12,406.21,655.21,1258.82,3400.00,14.65,O(log n)
HashMap,put,463.09,510.59,742.25,1131.18,1400.00,3.02,O(log n)
HashMap,get,48.91,82.84,106.65,203.93,38100.00,779.05,O(n)
HashMap,containsKey,51.82,69.74,101.84,205.54,1000.00,19.30,O(n)
TreeMap,put,1959.18,1677.50,1676.00,1706.01,3900.00,1.99,O(1)
TreeMap,get,217.13,446.38,759.64,1368.65,3000.00,13.82,O(log n)
TreeMap,containsKey,206.90,415.82,734.12,1322.13,4400.00,21.27,O(n)
PriorityQueue,offer,193.33,351.34,214.49,294.04,99.61,0.52,O(1)
PriorityQueue,peek,18.94,15.10,16.65,12.58,12.69,0.67,O(1)
PriorityQueue,poll,202.05,279.75,445.92,1766.40,4108.00,20.33,O(n)
